year,state,age,births
2001,8,40,122
2001,8,45,11
2002,1,15,3685
2002,1,20,12690
2002,1,25,25172
2002,1,30,28695
2002,1,35,13510
2002,1,40,2781
2002,1,45,129
2002,2,15,1872
2002,2,20,7260
2002,2,25,16913
2002,2,30,22926
2002,2,35,10888
2002,2,40,1961
2002,2,45,105
2002,3,15,2952
2002,3,20,8263
2002,3,25,14318
2002,3,30,14873
2002,3,35,6382
2002,3,40,1221
2002,3,45,78
2002,4,15,818
2002,4,20,2587
2002,4,25,4967
2002,4,30,6053
2002,4,35,2847
2002,4,40,596
2002,4,45,48
2002,5,15,1316
2002,5,20,3803
2002,5,25,6940
2002,5,30,7715
2002,5,35,3482
2002,5,40,602
2002,5,45,29
2002,6,15,456
2002,6,20,1196
2002,6,25,1685
2002,6,30,1628
2002,6,35,735
2002,6,40,179
2002,6,45,9
2002,7,15,463
2002,7,20,826
2002,7,25,972
2002,7,30,954
2002,7,35,444
2002,7,40,121
2002,7,45,8
2002,8,15,137
2002,8,20,474
2002,8,25,1136
2002,8,30,1404
2002,8,35,638
2002,8,40,179
2002,8,45,15
2003,1,15,3335
2003,1,20,12417
2003,1,25,24464
2003,1,30,29315
2003,1,35,14016
2003,1,40,2795
2003,1,45,153
2003,2,15,1690
2003,2,20,7186
2003,2,25,16274
2003,2,30,23179
2003,2,35,10995
2003,2,40,2128
2003,2,45,85
2003,3,15,2864
2003,3,20,8349
2003,3,25,13862
2003,3,30,15510
2003,3,35,6679
2003,3,40,1291
2003,3,45,80
2003,4,15,761
2003,4,20,2543
2003,4,25,4827
2003,4,30,5995
2003,4,35,2874
2003,4,40,652
2003,4,45,48
2003,5,15,1301
2003,5,20,3776
2003,5,25,6840
2003,5,30,8112
2003,5,35,3742
2003,5,40,715
2003,5,45,48
2003,6,15,423
2003,6,20,1042
2003,6,25,1576
2003,6,30,1747
2003,6,35,735
2003,6,40,144
2003,6,45,13
2003,7,15,473
2003,7,20,827
2003,7,25,974
2003,7,30,969
2003,7,35,492
2003,7,40,114
2003,7,45,9
2003,8,15,111
2003,8,20,481
2003,8,25,1090
2003,8,30,1490
2003,8,35,680
2003,8,40,153
2003,8,45,11
2004,1,15,3324
2004,1,20,12180
2004,1,25,23754
2004,1,30,29370
2004,1,35,14288
2004,1,40,2955
2004,1,45,156
2004,2,15,1736
2004,2,20,6960
2004,2,25,16154
2004,2,30,23865
2004,2,35,11821
2004,2,40,2210
2004,2,45,139
2004,3,15,2896
2004,3,20,8592
2004,3,25,14141
2004,3,30,15856
2004,3,35,7250
2004,3,40,1450
2004,3,45,77
2004,4,15,696
2004,4,20,2445
2004,4,25,4600
2004,4,30,5990
2004,4,35,2930
2004,4,40,633
2004,4,45,63
2004,5,15,1400
2004,5,20,3974
2004,5,25,6961
2004,5,30,8498
2004,5,35,4002
2004,5,40,743
2004,5,45,44
2004,6,15,402
2004,6,20,1084
2004,6,25,1599
2004,6,30,1670
2004,6,35,810
2004,6,40,156
2004,6,45,3
2004,7,15,408
2004,7,20,774
2004,7,25,954
2004,7,30,925
2004,7,35,489
2004,7,40,105
2004,7,45,12
2004,8,15,107
2004,8,20,411
2004,8,25,1023
2004,8,30,1561
2004,8,35,865
2004,8,40,205
2004,8,45,25
2005,1,15,3012
2005,1,20,11655
2005,1,25,23347
2005,1,30,30476
2005,1,35,15322
2005,1,40,3015
2005,1,45,172
2005,2,15,1683
2005,2,20,6969
